序號,分類,字母,單字或片語,詞性縮寫,詞性,中文釋義,來源
1543,TOEIC 多益必考單字,H,human resource,n,名詞,人力資源,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1544,TOEIC 多益必考單字,H,humble,a,形容詞,謙遜的；謙恭的 v 使謙卑,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1545,TOEIC 多益必考單字,H,humid,a,形容詞,潮濕的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1546,TOEIC 多益必考單字,H,humidity,n,名詞,濕氣；濕度,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1547,TOEIC 多益必考單字,H,humor,n,名詞,幽默感；幽默,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1548,TOEIC 多益必考單字,H,hurry,v,動詞,使趕緊；催促 n 急忙；倉促,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1549,TOEIC 多益必考單字,H,hurt,n,名詞,受傷；疼痛 a 受傷的 v 損害；危害,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1550,TOEIC 多益必考單字,H,hush,n,名詞,靜寂，沉默 v 使沉默，使安靜 I,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1551,TOEIC 多益必考單字,I,ice,n,名詞,冰 v 結冰,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1552,TOEIC 多益必考單字,I,ice-cold,a,形容詞,冰冷的；毫無感情的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1553,TOEIC 多益必考單字,I,icon,n,名詞,畫像；偶像,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1554,TOEIC 多益必考單字,I,icy,a,形容詞,多冰的；冷冰冰的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1555,TOEIC 多益必考單字,I,idea,n,名詞,打算；計畫,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1556,TOEIC 多益必考單字,I,ideal,a,形容詞,理想的；完美的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1557,TOEIC 多益必考單字,I,idealize,v,動詞,形成理想；理想化,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1558,TOEIC 多益必考單字,I,identical,a,形容詞,相同的；完全相似的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1559,TOEIC 多益必考單字,I,identification,v,動詞,認出；力識別,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1560,TOEIC 多益必考單字,I,identify,v,動詞,認出；識別,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1561,TOEIC 多益必考單字,I,idle,v,動詞,閒置的；空閒的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1562,TOEIC 多益必考單字,I,idol,n,名詞,偶像,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1563,TOEIC 多益必考單字,I,idolize,v,動詞,崇拜偶像,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1564,TOEIC 多益必考單字,I,ignite,v,動詞,點燃；使燃燒,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1565,TOEIC 多益必考單字,I,ignition,n,名詞,著火；燃燒,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1566,TOEIC 多益必考單字,I,ignorance,n,名詞,無知；不學無術,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1567,TOEIC 多益必考單字,I,ignorant,a,形容詞,無知的；不學無術的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1568,TOEIC 多益必考單字,I,ignore,v,動詞,不理會；忽視,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1569,TOEIC 多益必考單字,I,ill,a,形容詞,生病的；壞的 n 不幸；禍害,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1570,TOEIC 多益必考單字,I,ill-advised,a,形容詞,欠考慮的；輕率的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1571,TOEIC 多益必考單字,I,illegal,a,形容詞,違法的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1572,TOEIC 多益必考單字,I,illicit,a,形容詞,不法的，違禁的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1573,TOEIC 多益必考單字,I,illiteracy,n,名詞,不識字；文盲,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1574,TOEIC 多益必考單字,I,illness,n,名詞,患病；身體不適,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1575,TOEIC 多益必考單字,I,illogical,a,形容詞,不合邏輯的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1576,TOEIC 多益必考單字,I,illuminate,v,動詞,照亮；照射,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1577,TOEIC 多益必考單字,I,illusion,n,名詞,錯覺；幻覺,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1578,TOEIC 多益必考單字,I,illustrate,v,動詞,說明；闡明,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1579,TOEIC 多益必考單字,I,illustration,n,名詞,描繪；插畫,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1580,TOEIC 多益必考單字,I,image,n,名詞,圖像；圖案,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1581,TOEIC 多益必考單字,I,imaginary,a,形容詞,想像的；幻想的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1582,TOEIC 多益必考單字,I,imagination,n,名詞,想像力,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1583,TOEIC 多益必考單字,I,imagine,v,動詞,想像,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1584,TOEIC 多益必考單字,I,imitate,v,動詞,模仿,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1585,TOEIC 多益必考單字,I,immature,a,形容詞,不成熟的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1586,TOEIC 多益必考單字,I,immediate,a,形容詞,立刻的；立即的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1587,TOEIC 多益必考單字,I,immediately,ad,副詞,馬上；直接地,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1588,TOEIC 多益必考單字,I,immense,a,形容詞,巨大的；廣大的；,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1589,TOEIC 多益必考單字,I,immigrant,n,名詞,移民；僑民 a 移民的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1590,TOEIC 多益必考單字,I,immobile,a,形容詞,不能動的；固定的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1591,TOEIC 多益必考單字,I,immune,a,形容詞,免疫的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1592,TOEIC 多益必考單字,I,impact,v,動詞,產生影響,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1593,TOEIC 多益必考單字,I,impair,v,動詞,損害；損傷,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1594,TOEIC 多益必考單字,I,impartial,a,形容詞,公正的；無偏見的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1595,TOEIC 多益必考單字,I,impatient,a,形容詞,不耐煩的，沒耐心的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1596,TOEIC 多益必考單字,I,impeccable,a,形容詞,無懈可擊的；無缺點的畫,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1597,TOEIC 多益必考單字,I,impede,v,動詞,妨礙；阻礙,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1598,TOEIC 多益必考單字,I,imperative,a,形容詞,必要的；緊急的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1599,TOEIC 多益必考單字,I,implement,n,名詞,工具；器具 v 履行；實施,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1600,TOEIC 多益必考單字,I,implementation,n,名詞,履行；完成,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1601,TOEIC 多益必考單字,I,implication,n,名詞,牽連；涉及,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1602,TOEIC 多益必考單字,I,imply,v,動詞,暗指；暗示,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1603,TOEIC 多益必考單字,I,impolite,a,形容詞,失禮的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1604,TOEIC 多益必考單字,I,import,n,名詞,進口；輸入,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1605,TOEIC 多益必考單字,I,importance,n,名詞,重要性,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1606,TOEIC 多益必考單字,I,important,a,形容詞,重要的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1607,TOEIC 多益必考單字,I,impose,v,動詞,強加於,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1608,TOEIC 多益必考單字,I,impossible,a,形容詞,不可能的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1609,TOEIC 多益必考單字,I,impractical,a,形容詞,不實際的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1610,TOEIC 多益必考單字,I,impress,v,動詞,使感動；使銘記,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1611,TOEIC 多益必考單字,I,impression,n,名詞,印象,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1612,TOEIC 多益必考單字,I,impressive,a,形容詞,印象深刻的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1613,TOEIC 多益必考單字,I,improper,a,形容詞,不合適的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1614,TOEIC 多益必考單字,I,improve,v,動詞,增強；改善,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1615,TOEIC 多益必考單字,I,improvement,n,名詞,增強；改善,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1616,TOEIC 多益必考單字,I,impulse,n,名詞,衝動；刺激,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1617,TOEIC 多益必考單字,I,inability,n,名詞,無能；無力,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1618,TOEIC 多益必考單字,I,inaccurate,a,形容詞,不正確的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1619,TOEIC 多益必考單字,I,inactive,a,形容詞,不活躍的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1620,TOEIC 多益必考單字,I,inadequate,n,名詞,不適切的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1621,TOEIC 多益必考單字,I,inbound,a,形容詞,回內地的；歸本國的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1622,TOEIC 多益必考單字,I,Inc.,n,名詞,法人組織；公司 (= incorporation),https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1623,TOEIC 多益必考單字,I,incentive,n,名詞,鼓勵；動機 a 刺激的；鼓勵的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1624,TOEIC 多益必考單字,I,inch,n,名詞,英吋；少許 v 緩慢地移動,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1625,TOEIC 多益必考單字,I,incident,n,名詞,事件；事變,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1626,TOEIC 多益必考單字,I,incidental,n,名詞,附帶的；伴隨的銘,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1627,TOEIC 多益必考單字,I,incinerate,v,動詞,焚化；灰化,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1628,TOEIC 多益必考單字,I,incinerator,n,名詞,焚化爐,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1629,TOEIC 多益必考單字,I,inclination,n,名詞,傾向；意向,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
1630,TOEIC 多益必考單字,I,incline,v,動詞,傾斜；屈身,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
