"序號","分類","字母","級數","級數代碼","單字或片語","詞性","中文釋義","註解","學術字彙","來源"
"2934","英檢中級 GEPT Intermediate","M","中級","I","mood","noun","心情","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2935","英檢中級 GEPT Intermediate","M","初級","E","moon","noun","月亮","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2936","英檢中級 GEPT Intermediate","M","中級","I","moonlight","noun","月光","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2937","英檢中級 GEPT Intermediate","M","初級","E","mop","noun/verb","拖把；拖地","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2938","英檢中級 GEPT Intermediate","M","中級","I","moral","adj./noun","（有）道德的；道德、寓意","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2939","英檢中級 GEPT Intermediate","M","初級","E","more","adv./pron./adj.","更；更多（的）","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2940","英檢中級 GEPT Intermediate","M","中級","I","moreover","adv.","而且","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2941","英檢中級 GEPT Intermediate","M","初級","E","morning","noun","早晨","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2942","英檢中級 GEPT Intermediate","M","中級","I","mortgage","noun/verb","貸款；抵押","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2943","英檢中級 GEPT Intermediate","M","初級","E","mosquito","noun","蚊子","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2944","英檢中級 GEPT Intermediate","M","初級","E","most","adv./pron./adj.","最","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2945","英檢中級 GEPT Intermediate","M","中級","I","motel","noun","汽車旅館","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2946","英檢中級 GEPT Intermediate","M","中級","I","moth","noun","蛾","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2947","英檢中級 GEPT Intermediate","M","初級","E","mother","noun","母親","= mommy = mom = momma = mamma","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2948","英檢中級 GEPT Intermediate","M","初級","E","mother","verb","養育","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2949","英檢中級 GEPT Intermediate","M","初級","E","Mother's Day","noun","母親節","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2950","英檢中級 GEPT Intermediate","M","初級","E","motion","noun","行動、動作","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2951","英檢中級 GEPT Intermediate","M","初級","E","motion","verb","打手勢","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2952","英檢中級 GEPT Intermediate","M","中級","I","motivate","verb","激發、給…動機","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2953","英檢中級 GEPT Intermediate","M","中級","I","motivation","noun","動機","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2954","英檢中級 GEPT Intermediate","M","中級","I","motor","noun","馬達","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2955","英檢中級 GEPT Intermediate","M","初級","E","motorcycle","noun","摩托車","= motorbike (British English)","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2956","英檢中級 GEPT Intermediate","M","初級","E","mountain","noun","山","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2957","英檢中級 GEPT Intermediate","M","中級","I","mountainous","adj.","（多）山的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2958","英檢中級 GEPT Intermediate","M","初級","E","mouse","noun","老鼠","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2959","英檢中級 GEPT Intermediate","M","中級","I","moustache","noun","上唇的鬍子、八字鬍","= mustache","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2960","英檢中級 GEPT Intermediate","M","初級","E","mouth","noun","嘴","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2961","英檢中級 GEPT Intermediate","M","中級","I","movable","adj.","可動的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2962","英檢中級 GEPT Intermediate","M","初級","E","move","verb/noun","搬家、移動","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2963","英檢中級 GEPT Intermediate","M","初級","E","movement","noun","動作；活動","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2964","英檢中級 GEPT Intermediate","M","初級","E","movie","noun","電影","= film = cinema = picture","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2965","英檢中級 GEPT Intermediate","M","中級","I","mow","verb","割、修剪","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2966","英檢中級 GEPT Intermediate","M","初級","E","Mr.","noun","先生","= Mr","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2967","英檢中級 GEPT Intermediate","M","初級","E","Mrs.","noun","太太","= Mrs","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2968","英檢中級 GEPT Intermediate","M","初級","E","MRT","noun","捷運","= mass rapid transit = subway = underground = metro","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2969","英檢中級 GEPT Intermediate","M","初級","E","Ms.","noun","女士","= Ms","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2970","英檢中級 GEPT Intermediate","M","初級","E","much","pron./adv./adj.","很多","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2971","英檢中級 GEPT Intermediate","M","初級","E","mud","noun","泥巴","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2972","英檢中級 GEPT Intermediate","M","中級","I","muddy","adj.","泥濘的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2973","英檢中級 GEPT Intermediate","M","中級","I","mug","noun","馬克杯","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2974","英檢中級 GEPT Intermediate","M","中級","I","mug","verb","（在公共場合）攔路搶劫","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2975","英檢中級 GEPT Intermediate","M","中級","I","multiple","adj.","多樣的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2976","英檢中級 GEPT Intermediate","M","中級","I","multiply","verb","乘以、成倍增加","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2977","英檢中級 GEPT Intermediate","M","中級","I","murder","noun/verb","謀殺、兇殺","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2978","英檢中級 GEPT Intermediate","M","中級","I","murderer","noun","兇手","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2979","英檢中級 GEPT Intermediate","M","中級","I","murmur","verb/noun","喃喃低語（聲）","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2980","英檢中級 GEPT Intermediate","M","中級","I","muscle","noun","肌肉","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2981","英檢中級 GEPT Intermediate","M","初級","E","museum","noun","博物館","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2982","英檢中級 GEPT Intermediate","M","中級","I","mushroom","noun","蘑菇","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2983","英檢中級 GEPT Intermediate","M","中級","I","mushroom","verb","迅速增長","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2984","英檢中級 GEPT Intermediate","M","初級","E","music","noun","音樂","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2985","英檢中級 GEPT Intermediate","M","中級","I","musical","adj./noun","音樂的；音樂劇","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2986","英檢中級 GEPT Intermediate","M","初級","E","musician","noun","音樂家","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2987","英檢中級 GEPT Intermediate","M","初級","E","must","aux.","必須、一定是","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2988","英檢中級 GEPT Intermediate","M","中級","I","mutual","adj.","互相的、共同的","","L9","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2989","英檢中級 GEPT Intermediate","M","初級","E","my","determiner","我的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2990","英檢中級 GEPT Intermediate","M","初級","E","myself","pron.","我自己","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2991","英檢中級 GEPT Intermediate","M","中級","I","mysterious","adj.","神秘的、奇怪的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2992","英檢中級 GEPT Intermediate","M","中級","I","mystery","noun","神秘的事物、謎","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/bc2096f8c1329669c57bc22b9230390c"
"2993","英檢中級 GEPT Intermediate","N","初級","E","nail","noun/verb","釘子；釘","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"2994","英檢中級 GEPT Intermediate","N","中級","I","naked","adj.","裸體的、裸露的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"2995","英檢中級 GEPT Intermediate","N","初級","E","name","noun/verb","名字；命名","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"2996","英檢中級 GEPT Intermediate","N","中級","I","namely","adv.","也就是","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"2997","英檢中級 GEPT Intermediate","N","中級","I","nap","noun/verb","打盹；小睡","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"2998","英檢中級 GEPT Intermediate","N","初級","E","napkin","noun","餐巾","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"2999","英檢中級 GEPT Intermediate","N","初級","E","narrow","adj./verb","窄的；變窄","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3000","英檢中級 GEPT Intermediate","N","中級","I","nasty","adj.","令人不快的、惡意的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3001","英檢中級 GEPT Intermediate","N","初級","E","nation","noun","國家","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3002","英檢中級 GEPT Intermediate","N","初級","E","national","adj.","全國的、民族的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3003","英檢中級 GEPT Intermediate","N","中級","I","nationality","noun","國籍","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3004","英檢中級 GEPT Intermediate","N","中級","I","native","adj./noun","當地的、出生地的；本地人","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3005","英檢中級 GEPT Intermediate","N","初級","E","natural","adj.","自然的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3006","英檢中級 GEPT Intermediate","N","中級","I","naturalist","noun","博物學家、 自然主義者","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3007","英檢中級 GEPT Intermediate","N","初級","E","nature","noun","自然","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3008","英檢中級 GEPT Intermediate","N","初級","E","naughty","adj.","淘氣的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3009","英檢中級 GEPT Intermediate","N","中級","I","naval","adj.","海軍的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3010","英檢中級 GEPT Intermediate","N","中級","I","navy","noun","海軍","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3011","英檢中級 GEPT Intermediate","N","初級","E","near","prep./adj./adv./verb","接近；近的；在附近","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3012","英檢中級 GEPT Intermediate","N","中級","I","nearby","adj./adv.","附近的；在附近","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3013","英檢中級 GEPT Intermediate","N","初級","E","nearly","adv.","幾乎","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3014","英檢中級 GEPT Intermediate","N","中級","I","neat","adj.","整潔的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3015","英檢中級 GEPT Intermediate","N","中級","I","necessarily","adv.","必然地、必要地","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3016","英檢中級 GEPT Intermediate","N","初級","E","necessary","adj.","必要的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3017","英檢中級 GEPT Intermediate","N","中級","I","necessity","noun","必要性、必需品","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3018","英檢中級 GEPT Intermediate","N","初級","E","neck","noun","脖子","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3019","英檢中級 GEPT Intermediate","N","初級","E","necklace","noun","項鏈","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3020","英檢中級 GEPT Intermediate","N","初級","E","need","verb/noun/aux.","需要","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3021","英檢中級 GEPT Intermediate","N","初級","E","needle","noun/verb","針；用針穿刺、用針縫","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3022","英檢中級 GEPT Intermediate","N","中級","I","needy","adj.","貧困的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3023","英檢中級 GEPT Intermediate","N","初級","E","negative","adj./noun","負面（的）、否定（的）","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3024","英檢中級 GEPT Intermediate","N","中級","I","neglect","verb","忽視","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3025","英檢中級 GEPT Intermediate","N","中級","I","negotiate","verb","協商、談判","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3026","英檢中級 GEPT Intermediate","N","中級","I","negotiation","noun","協商、談判","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3027","英檢中級 GEPT Intermediate","N","初級","E","neighbor","noun/verb","鄰居；與…為鄰","= neighbour (British English)","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3028","英檢中級 GEPT Intermediate","N","中級","I","neighborhood","noun","街區、鄰近地區","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3029","英檢中級 GEPT Intermediate","N","初級","E","neither","adv./pron./adj./conj.","兩者皆不","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3030","英檢中級 GEPT Intermediate","N","初級","E","nephew","noun","姪子、外甥","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3031","英檢中級 GEPT Intermediate","N","中級","I","nerve","noun/verb","神經、緊張、勇氣、厚顏無恥；鼓足勇氣","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3032","英檢中級 GEPT Intermediate","N","初級","E","nervous","adj.","緊張的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3033","英檢中級 GEPT Intermediate","N","初級","E","nest","noun/verb","巢；築巢","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3034","英檢中級 GEPT Intermediate","N","中級","I","net","adj.","淨值的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3035","英檢中級 GEPT Intermediate","N","中級","I","net","noun/verb","網（狀物）；用網捕","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3036","英檢中級 GEPT Intermediate","N","中級","I","network","noun/verb","網路；連接成網路","","L5","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3037","英檢中級 GEPT Intermediate","N","初級","E","never","adv.","從未","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3038","英檢中級 GEPT Intermediate","N","中級","I","nevertheless","adv.","儘管如此、然而","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3039","英檢中級 GEPT Intermediate","N","初級","E","new","adj.","新的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3040","英檢中級 GEPT Intermediate","N","初級","E","New Year's Day","noun","新年","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3041","英檢中級 GEPT Intermediate","N","初級","E","New Year's Eve","noun","跨年夜","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3042","英檢中級 GEPT Intermediate","N","中級","I","newcomer","noun","新來者","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3043","英檢中級 GEPT Intermediate","N","初級","E","news","noun","消息、新聞","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3044","英檢中級 GEPT Intermediate","N","中級","I","newscaster","noun","新聞播報員","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3045","英檢中級 GEPT Intermediate","N","初級","E","newspaper","noun","報紙","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3046","英檢中級 GEPT Intermediate","N","初級","E","next","adj./adv.","隔壁的、緊接著的；接下去、然後","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3047","英檢中級 GEPT Intermediate","N","初級","E","nice","adj.","美好的、宜人的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3048","英檢中級 GEPT Intermediate","N","初級","E","nice-looking","adj.","好看的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3049","英檢中級 GEPT Intermediate","N","中級","I","nickname","noun/verb","綽號；起綽號","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3050","英檢中級 GEPT Intermediate","N","初級","E","niece","noun","姪女、甥女","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3051","英檢中級 GEPT Intermediate","N","初級","E","night","noun","晚上","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3052","英檢中級 GEPT Intermediate","N","中級","I","nightmare","noun","惡夢、夢魘","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3053","英檢中級 GEPT Intermediate","N","初級","E","nine","number/pron./noun/adj.","九","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3054","英檢中級 GEPT Intermediate","N","初級","E","nineteen","number/pron./noun/adj.","十九","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3055","英檢中級 GEPT Intermediate","N","初級","E","ninety","number/pron./noun/adj.","九十","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3056","英檢中級 GEPT Intermediate","N","初級","E","no","adv./adj./noun","沒有","= nope","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3057","英檢中級 GEPT Intermediate","N","中級","I","noble","adj./noun","高尚的、貴族的；貴族","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3058","英檢中級 GEPT Intermediate","N","初級","E","nobody","pron./noun","沒有人","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3059","英檢中級 GEPT Intermediate","N","初級","E","nod","verb/noun","點頭","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3060","英檢中級 GEPT Intermediate","N","初級","E","noise","noun","噪音","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3061","英檢中級 GEPT Intermediate","N","初級","E","noisy","adj.","吵鬧的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3062","英檢中級 GEPT Intermediate","N","初級","E","none","pron./adv.","沒有一個（人或物）；絕不","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3063","英檢中級 GEPT Intermediate","N","中級","I","nonetheless","adv.","儘管如此","","L10","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3064","英檢中級 GEPT Intermediate","N","中級","I","nonsense","noun","胡扯","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3065","英檢中級 GEPT Intermediate","N","中級","I","nonstop","adj./adv.","直達的、不停的；不休息地","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3066","英檢中級 GEPT Intermediate","N","初級","E","noodle","noun","麵條","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3067","英檢中級 GEPT Intermediate","N","初級","E","noon","noun","正午","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3068","英檢中級 GEPT Intermediate","N","初級","E","nor","conj.","也不是","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3069","英檢中級 GEPT Intermediate","N","中級","I","normal","adj.","正常的、標準的","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3070","英檢中級 GEPT Intermediate","N","初級","E","north","noun/adj./adv.","北方（的）；向北","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3071","英檢中級 GEPT Intermediate","N","中級","I","northeast","noun/adv./adj.","東北方","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3072","英檢中級 GEPT Intermediate","N","初級","E","northern","adj.","北邊的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3073","英檢中級 GEPT Intermediate","N","中級","I","northwest","noun/adv./adj.","西北方","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3074","英檢中級 GEPT Intermediate","N","初級","E","nose","noun","鼻子","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3075","英檢中級 GEPT Intermediate","N","初級","E","not","adv.","不是","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3076","英檢中級 GEPT Intermediate","N","初級","E","note","noun/verb","筆記；記錄、注意","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3077","英檢中級 GEPT Intermediate","N","初級","E","notebook","noun","筆記本","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3078","英檢中級 GEPT Intermediate","N","初級","E","nothing","pron./noun","沒什麼","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
"3079","英檢中級 GEPT Intermediate","N","初級","E","notice","noun/verb","注意（到）；公告","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/27fd5b8734597ff39055b635876f1bc0"
